 2022-06-26 20:59:11,774 - Key.enter
 2022-06-26 21:00:57,566 - Key.enter
 2022-06-26 21:01:05,772 - Key.ctrl_l
 2022-06-26 21:01:05,973 - '\x03'
 2022-06-26 21:01:19,161 - 'd'
 2022-06-26 21:01:19,824 - Key.enter
 2022-06-26 21:02:27,041 - 'p'
 2022-06-26 21:02:28,208 - 'y'
 2022-06-26 21:04:53,324 - 'p'
 2022-06-26 21:04:53,693 - 'y'
 2022-06-26 21:04:53,972 - 't'
 2022-06-26 21:05:56,852 - 'p'
 2022-06-26 21:05:57,236 - 'y'
 2022-06-26 21:05:57,500 - 't'
 2022-06-26 21:05:57,756 - 'h'
 2022-06-26 21:06:22,144 - Key.backspace
 2022-06-26 21:06:22,384 - Key.backspace
 2022-06-26 21:06:22,600 - Key.backspace
 2022-06-26 21:06:22,800 - Key.backspace
 2022-06-26 21:06:22,984 - Key.backspace
 2022-06-26 21:06:23,169 - Key.backspace
 2022-06-26 21:06:23,368 - Key.backspace
 2022-06-26 21:06:23,584 - Key.backspace
 2022-06-26 21:06:23,832 - Key.backspace
 2022-06-26 21:06:24,152 - Key.backspace
 2022-06-26 21:06:24,608 - Key.backspace
 2022-06-26 21:06:42,612 - 'e'
 2022-06-26 21:06:42,916 - 'x'
 2022-06-26 21:06:43,260 - 'e'
 2022-06-26 21:06:58,021 - 'p'
 2022-06-26 21:06:58,428 - 'y'
 2022-06-26 21:07:13,280 - 'p'
 2022-06-26 21:07:13,760 - 'y'
 2022-06-26 21:07:31,300 - 'p'
 2022-06-26 21:07:31,732 - 'y'
 2022-06-26 21:08:03,676 - Key.right
 2022-06-26 21:08:05,543 - '.'
 2022-06-26 21:08:07,423 - Key.backspace
 2022-06-26 21:08:07,760 - '3'
 2022-06-26 21:09:05,696 - Key.right
 2022-06-26 21:09:08,553 - '/'
 2022-06-26 21:09:10,120 - Key.backspace
 2022-06-26 21:09:13,624 - '\\'
 2022-06-26 21:09:15,704 - 'p'
 2022-06-26 21:10:09,863 - Key.up
 2022-06-26 21:10:10,823 - Key.enter
 2022-06-26 21:10:26,160 - 'p'
 2022-06-26 21:10:27,687 - 'y'
 2022-06-26 21:10:33,988 - Key.space
 2022-06-26 21:10:36,124 - Key.insert
 2022-06-26 21:10:37,731 - '3'
 2022-06-26 21:12:17,072 - Key.up
 2022-06-26 21:12:17,976 - Key.left
 2022-06-26 21:12:18,475 - Key.left
 2022-06-26 21:12:18,522 - Key.left
 2022-06-26 21:12:18,553 - Key.left
 2022-06-26 21:12:18,583 - Key.left
 2022-06-26 21:12:18,615 - Key.left
 2022-06-26 21:12:18,647 - Key.left
 2022-06-26 21:12:18,677 - Key.left
 2022-06-26 21:12:18,708 - Key.left
 2022-06-26 21:12:18,739 - Key.left
 2022-06-26 21:12:18,786 - Key.left
 2022-06-26 21:12:18,817 - Key.left
 2022-06-26 21:12:18,849 - Key.left
 2022-06-26 21:12:18,879 - Key.left
 2022-06-26 21:12:18,911 - Key.left
 2022-06-26 21:12:20,119 - Key.backspace
 2022-06-26 21:12:20,392 - Key.backspace
 2022-06-26 21:12:20,588 - Key.backspace
 2022-06-26 21:12:22,040 - Key.right
 2022-06-26 21:12:22,835 - Key.backspace
 2022-06-26 21:12:35,011 - Key.enter
 2022-06-26 21:12:54,339 - Key.up
 2022-06-26 21:12:55,468 - Key.enter
 2022-06-26 21:13:26,463 - Key.space
 2022-06-26 21:13:26,863 - 'j'
 2022-06-26 21:13:29,043 - 'l'
 2022-06-26 21:13:31,211 - Key.backspace
 2022-06-26 21:13:31,436 - Key.backspace
 2022-06-26 21:13:58,540 - 'p'
 2022-06-26 21:13:59,872 - 'y'
 2022-06-26 21:14:01,296 - '3'
 2022-06-26 21:14:02,520 - Key.enter
 2022-06-26 21:14:03,728 - Key.backspace
 2022-06-26 21:14:04,744 - 't'
 2022-06-26 21:14:05,152 - 'h'
 2022-06-26 21:14:05,607 - 'o'
 2022-06-26 21:14:05,975 - 'n'
 2022-06-26 21:14:06,847 - Key.enter
 2022-06-26 21:14:09,407 - '3'
 2022-06-26 21:14:10,303 - Key.enter
 2022-06-26 21:15:40,587 - 'b'
 2022-06-26 21:15:40,588 - 'n'
 2022-06-26 21:15:40,667 - 'j'
 2022-06-26 21:15:40,668 - 'k'
 2022-06-26 21:15:43,435 - 'b'
 2022-06-26 21:15:43,699 - 'j'
 2022-06-26 21:15:43,860 - 'b'
 2022-06-26 21:15:43,964 - 'j'
 2022-06-26 21:15:44,029 - 'b'
 2022-06-26 21:15:44,131 - 'j'
 2022-06-26 21:15:44,203 - 'b'
 2022-06-26 21:15:44,283 - 'j'
 2022-06-26 21:16:25,415 - Key.enter
 2022-06-26 21:16:25,988 - 'h'
 2022-06-26 21:16:26,244 - 'h'
 2022-06-26 21:16:26,415 - 'h'
 2022-06-26 21:17:38,666 - 'w'
 2022-06-26 21:17:38,938 - 'o'
 2022-06-26 21:17:57,663 - 'p'
 2022-06-26 21:17:57,910 - 'r'
 2022-06-26 21:17:58,111 - 'o'
